split,seed,a,b,mean_diff,ci_low,ci_high
random,0,B_esm,C_esm_residualized,0.14933536638733738,0.13046943945905115,0.16862741383475952
random,0,B_esm,A_composition,0.06594144045915687,0.05125066317229088,0.08236926285678942
random,0,C_esm_residualized,D_length_only,0.293463101630036,0.25675879763942033,0.3290795945765314
random,1,B_esm,C_esm_residualized,0.134888358021211,0.11725683144138618,0.15251755665693675
random,1,B_esm,A_composition,0.07754840150434637,0.06302062384063162,0.09409657502388036
random,1,C_esm_residualized,D_length_only,0.2864161129333672,0.24922988083574832,0.32562547018269056
random,2,B_esm,C_esm_residualized,0.13515982907882632,0.1170774175700445,0.15451851413721313
random,2,B_esm,A_composition,0.07724795685981206,0.06335326467019853,0.09207234731327979
random,2,C_esm_residualized,D_length_only,0.2829561831710189,0.24654496382225957,0.3175920345719344
random,3,B_esm,C_esm_residualized,0.13450083715147987,0.11557575396594294,0.1532771997379361
random,3,B_esm,A_composition,0.05973303681648777,0.04641225597422922,0.07397640440553542
random,3,C_esm_residualized,D_length_only,0.2810199083900492,0.24595875954082833,0.3163206584792143
random,4,B_esm,C_esm_residualized,0.13582670765348315,0.11761717257371107,0.1551117573401981
random,4,B_esm,A_composition,0.08394140160596952,0.06846531916337535,0.10081449739021855
random,4,C_esm_residualized,D_length_only,0.2977492811035794,0.262377634898325,0.3341887218879399
family,0,B_esm,C_esm_residualized,0.13820839908902013,0.11678248083325381,0.1583926457478597
family,0,B_esm,A_composition,0.0607161096749429,0.04295311982787176,0.07971913624920418
family,0,C_esm_residualized,D_length_only,0.2501960230275067,0.2077117685296767,0.2932634396743493
family,1,B_esm,C_esm_residualized,0.10982670855303699,0.09130984760792296,0.13033431304736962
family,1,B_esm,A_composition,0.09099978236408128,0.07005980918668989,0.11138767960006064
family,1,C_esm_residualized,D_length_only,0.39272812450749495,0.35071403713591476,0.4348393455259864
family,2,B_esm,C_esm_residualized,0.1265418932539317,0.10727186558477808,0.1472306044930806
family,2,B_esm,A_composition,0.07734220342335187,0.05725732267030802,0.09659081291382446
family,2,C_esm_residualized,D_length_only,0.3396235526551035,0.3037646639931286,0.37624178414720405
family,3,B_esm,C_esm_residualized,0.12827128939386756,0.10930637650339965,0.14670939211210002
family,3,B_esm,A_composition,0.05944712053084261,0.04286319998311127,0.07695443383508783
family,3,C_esm_residualized,D_length_only,0.30536156974769235,0.2654520506170225,0.3447936563878989
family,4,B_esm,C_esm_residualized,0.11432174036457027,0.0943321958671772,0.13407616273784703
family,4,B_esm,A_composition,0.0512620640999928,0.0335594422921065,0.06996588380514669
family,4,C_esm_residualized,D_length_only,0.3036515381309016,0.26464414757977645,0.3430561487139833
