split,representation,seed,auc,ci_low,ci_high
random,A_composition,0,0.9072758211725882,0.8913263634299609,0.9225748004428977
random,B_esm,0,0.9731973736227849,0.9659408040384293,0.979763362818804
random,C_esm_residualized,0,0.8241255435810172,0.8013140992980946,0.8442787507802351
random,D_length_only,0,0.5306081232059678,0.5015239547872185,0.5574037898475772
random,E_composition_plus_residual,0,0.9722374052493167,0.9650295930632101,0.9789246492580984
random,A_composition,1,0.895634163529796,0.8790220921564164,0.9106300390288926
random,B_esm,1,0.973191357706389,0.9652777237175777,0.9805026162894966
random,C_esm_residualized,1,0.8383901407724437,0.8176751654438909,0.857625949777076
random,D_length_only,1,0.5522001065676618,0.522178951374142,0.5788340311142489
random,E_composition_plus_residual,1,0.972345691744444,0.9642106653592403,0.9797001789444224
random,A_composition,2,0.8986404028945152,0.8819878722505561,0.9140410824315512
random,B_esm,2,0.9760549339108613,0.969420463071125,0.981899483183036
random,C_esm_residualized,2,0.8407621306657042,0.8211801233307686,0.8606832911175611
random,D_length_only,2,0.5580003093899861,0.530095283730347,0.5855556199621333
random,E_composition_plus_residual,2,0.9770381065332852,0.9710453235122549,0.9827609109842924
random,A_composition,3,0.9130614139122363,0.8984982075899528,0.9266226640900168
random,B_esm,3,0.9730229120473024,0.9637201452491998,0.9807633549622112
random,C_esm_residualized,3,0.8383935784389558,0.8166740972264497,0.8598461208564915
random,D_length_only,3,0.5563777307963355,0.5297614454882048,0.5866660116540552
random,E_composition_plus_residual,3,0.9726310180649376,0.9639127201666116,0.9800492615493271
random,A_composition,4,0.8898726344557313,0.8710313182674898,0.9071272182960928
random,B_esm,4,0.9742106258271885,0.9662767651957485,0.9802763455029249
random,C_esm_residualized,4,0.8384932707678029,0.8176624831983468,0.8570663627825974
random,D_length_only,4,0.5403710960999673,0.5109407330041709,0.5689309234762505
random,E_composition_plus_residual,4,0.9758057030887433,0.9686249449048181,0.9817914333722884
family,A_composition,0,0.8850954622089429,0.8661482639855198,0.9026602515915657
family,B_esm,0,0.9459383808203305,0.9304945727287814,0.9595362950558858
family,C_esm_residualized,0,0.8082016781559813,0.7819796366070996,0.8332091491718806
family,D_length_only,0,0.5576410451696057,0.524397338727875,0.5903807435208599
family,E_composition_plus_residual,0,0.9478033602176785,0.933100649453117,0.9604376256357016
family,A_composition,1,0.8612264481721382,0.83982724739992,0.8830073938781724
family,B_esm,1,0.9521651073096016,0.9394429339684942,0.9643990583309726
family,C_esm_residualized,1,0.8416583623982727,0.8178390177839553,0.8655388676219403
family,D_length_only,1,0.4504950266659285,0.4157790412388575,0.4828089436424423
family,E_composition_plus_residual,1,0.9550277731642953,0.9427248016594069,0.9663019311092793
family,A_composition,2,0.8610424957013019,0.8407775489462469,0.8815665754373143
family,B_esm,2,0.9384544338000491,0.9237375093107585,0.9516779575024454
family,C_esm_residualized,2,0.8114193072955048,0.788176956316305,0.8344795041969942
family,D_length_only,2,0.47203635470400396,0.4426325289480047,0.5009689285384055
family,E_composition_plus_residual,2,0.9365187914517317,0.9221529695583928,0.9494372939327802
family,A_composition,3,0.8998451109367771,0.8817446961558689,0.9177303203316974
family,B_esm,3,0.9595494806858031,0.9489081255620363,0.9697946164002069
family,C_esm_residualized,3,0.8315296468395253,0.8076667507588932,0.8544749680171295
family,D_length_only,3,0.5256958273825089,0.4917041309027111,0.5600010999317797
family,E_composition_plus_residual,3,0.960632363097513,0.9499379225372946,0.9702938504096916
family,A_composition,4,0.9139867368521493,0.8966738531697651,0.9308368712947971
family,B_esm,4,0.964824032696681,0.9544325144967123,0.9746040603889398
family,C_esm_residualized,4,0.8503936006106773,0.8249900500060445,0.873625155433531
family,D_length_only,4,0.5472026526295701,0.5129812666796848,0.5788557366652385
family,E_composition_plus_residual,4,0.9598447861834257,0.9474172896708405,0.9711283738572477
